"from","to","vessels","xx","yx","xy","yy"
"Homunga Bay","Mainland Marina 14",1,175.945581669273,-37.3615264694354,176.18072485,-37.66724799505
"Homunga Bay","Mainland Oysters 11",1,175.945581669273,-37.3615264694354,177.074836065,-37.9561968485
"Mainland Aquaculture 3","Mainland Marina 2",1,174.0915419815,-35.22973932065,174.1034276155,-35.24046385095
"Mainland Aquaculture 4","Mainland Mooring 27",1,175.451390291,-36.7329484605,175.465709040333,-36.5225860606667
"Mainland Aquaculture 4","Mainland Mooring 59",1,175.451390291,-36.7329484605,175.0339161016,-36.82694775294
"Mainland Beach 10","Mainland Mooring 28",1,175.791444444,-36.6934444444,175.772892556,-36.6005389888
"Mainland Beach 24","Mainland Beach 29",1,175.484194055333,-36.2454641751333,175.482161136333,-36.1545944806333
"Mainland Beach 24","Mainland Mooring 51",1,175.484194055333,-36.2454641751333,175.394999821667,-36.2618971699
"Mainland Beach 29","Mainland Beach 24",1,175.482161136333,-36.1545944806333,175.484194055333,-36.2454641751333
"Mainland Beach 29","Mainland Island 79",1,175.482161136333,-36.1545944806333,175.470518094,-36.133401488375
"Mainland Beach 29","Mainland Mooring 50",2,175.482161136333,-36.1545944806333,175.484314823333,-36.3264657695333
"Mainland Beach 29","Mainland Mooring 52",1,175.482161136333,-36.1545944806333,175.3452219984,-36.16394118716
"Mainland Beach 69","Mainland Marina 9",1,175.862501418,-36.8754822539,174.7806808478,-36.84457156828
"Mainland CHS 10","Mainland Marina 9",3,175.525633969,-37.1689870719333,174.7806808478,-36.84457156828
"Mainland CHS 10","Mainland Mooring 51",5,175.525633969,-37.1689870719333,175.394999821667,-36.2618971699
"Mainland CHS 10","Mainland Mooring 52",1,175.525633969,-37.1689870719333,175.3452219984,-36.16394118716
"Mainland CHS 10","Mainland Mooring 57",1,175.525633969,-37.1689870719333,175.169568132,-36.9355424265
"Mainland CHS 19","Mainland Marina 15",1,177.992973811,-37.5696990508,178.025686769,-38.6865385205
"Mainland CHS 63","Mainland Island 79",1,175.4310681485,-36.1081288082,175.470518094,-36.133401488375
"Mainland CHS 63","Mainland Marina 9",1,175.4310681485,-36.1081288082,174.7806808478,-36.84457156828
"Mainland CHS 7","Mainland Oysters 22",1,174.578852967,-35.7403713299,174.222283953,-35.2200093351
"Mainland Island 10","Mainland Beach 69",1,175.793576305,-36.6985332257,175.862501418,-36.8754822539
"Mainland Island 11","Mainland Mooring 28",1,175.87468265475,-36.64255098635,175.772892556,-36.6005389888
"Mainland Island 12","Mainland Mooring 42",1,175.151978722846,-35.9332637060846,174.5217148356,-35.83060401092
"Mainland Island 13","Mainland Marina 7",1,174.732162756087,-35.9507358592261,174.769023108,-36.7416808893
