from,to,fromnID,tonID,vessels,Perc_tot,xx,yx,xy,yy
Mainland Beach 10,Homunga Bay,1376,1742,1,0.01496334,175.7914444,-36.69344444,175.9455817,-37.36152647
Mainland Oysters 22,Mainland Aquaculture 3,1684,1679,6,0.089780039,174.222284,-35.22000934,174.091542,-35.22973932
Mainland Mooring 36,Mainland Aquaculture 3,1116,1679,24,0.359120156,174.2344349,-35.23128279,174.091542,-35.22973932
Mainland Mooring 35,Mainland Aquaculture 3,1115,1679,16,0.239413437,174.1158118,-35.24542248,174.091542,-35.22973932
Mainland Mooring 45,Mainland Aquaculture 3,1125,1679,6,0.089780039,173.9259023,-35.02296557,174.091542,-35.22973932
Mainland Mooring 47,Mainland Aquaculture 3,1127,1679,2,0.02992668,174.3411403,-35.3128583,174.091542,-35.22973932
Mainland Oysters 12,Mainland Aquaculture 3,1663,1679,6,0.089780039,174.0151343,-35.11777579,174.091542,-35.22973932
Mainland Oysters 21,Mainland Aquaculture 3,1683,1679,19,0.284303457,174.1287836,-35.2517752,174.091542,-35.22973932
Mainland Mooring 28,Mainland Aquaculture 3,1108,1679,1,0.01496334,175.7728926,-36.60053899,174.091542,-35.22973932
Mainland Oysters 16,Mainland Aquaculture 4,1597,1689,1,0.01496334,175.1699538,-36.80293957,175.4513903,-36.73294846
Mainland Mussels 18,Mainland Aquaculture 4,1627,1689,1,0.01496334,175.4369037,-36.74994991,175.4513903,-36.73294846
Mainland Mooring 28,Mainland Aquaculture 4,1108,1689,1,0.01496334,175.7728926,-36.60053899,175.4513903,-36.73294846
Mainland Island 76,Mainland Aquaculture 4,1568,1689,1,0.01496334,175.3662661,-36.4419488,175.4513903,-36.73294846
Mainland Mooring 26,Mainland Aquaculture 4,1106,1689,2,0.02992668,175.4757936,-36.7642383,175.4513903,-36.73294846
Mainland Mooring 51,Mainland Aquaculture 4,1131,1689,5,0.074816699,175.3949998,-36.26189717,175.4513903,-36.73294846
Mainland Mooring 58,Mainland Aquaculture 4,1138,1689,1,0.01496334,174.9849346,-36.75476649,175.4513903,-36.73294846
Mainland Island 74,Mainland Beach 10,1566,1376,4,0.059853359,175.5515877,-36.59267813,175.7914444,-36.69344444
Mainland Mooring 51,Mainland Beach 10,1131,1376,1,0.01496334,175.3949998,-36.26189717,175.7914444,-36.69344444
Mainland CHS 63,Mainland Beach 24,1287,1390,1,0.01496334,175.4310681,-36.10812881,175.4841941,-36.24546418
Mainland Mooring 50,Mainland Beach 24,1130,1390,2,0.02992668,175.4843148,-36.32646577,175.4841941,-36.24546418
Mainland Mooring 52,Mainland Beach 24,1132,1390,1,0.01496334,175.345222,-36.16394119,175.4841941,-36.24546418
Mainland Beach 29,Mainland Beach 24,1395,1390,1,0.01496334,175.4821611,-36.15459448,175.4841941,-36.24546418
Mainland Mooring 28,Mainland Beach 29,1108,1395,1,0.01496334,175.7728926,-36.60053899,175.4821611,-36.15459448
Mainland Mussels 29,Mainland Beach 29,1625,1395,2,0.02992668,175.3419631,-36.1619629,175.4821611,-36.15459448
Mainland Island 79,Mainland Beach 29,1571,1395,1,0.01496334,175.4705181,-36.13340149,175.4821611,-36.15459448
Mainland Mooring 51,Mainland Beach 29,1131,1395,1,0.01496334,175.3949998,-36.26189717,175.4821611,-36.15459448
Mainland Marina 1,Mainland Beach 34,1053,1400,1,0.01496334,173.7419182,-35.06394306,173.3902896,-34.90263937
Mainland MR 2,Mainland Beach 69,1185,1436,2,0.02992668,176.2608625,-37.26126482,175.8625014,-36.87548225
Mainland Mooring 28,Mainland Beach 69,1108,1436,1,0.01496334,175.7728926,-36.60053899,175.8625014,-36.87548225
Mainland Mooring 51,Mainland Beach 69,1131,1436,1,0.01496334,175.3949998,-36.26189717,175.8625014,-36.87548225
Mainland Mooring 30,Mainland Beach 69,1110,1436,2,0.02992668,175.7147573,-36.82193521,175.8625014,-36.87548225
Mainland Mooring 47,Mainland Beach 70,1127,1437,1,0.01496334,174.3411403,-35.3128583,174.578853,-35.81785382
