nID,name,per_inc,wei_outdegree,top_10,data
1683,Mainland Oysters 21,20.24,242.5118554,TRUE,AIS
1683,Mainland Oysters 21,15,242.5118554,TRUE,Survey
1116,Mainland Mooring 36,31.38,184.6618531,TRUE,Survey
1116,Mainland Mooring 36,11.9,184.6618531,TRUE,AIS
1684,Mainland Oysters 22,6.4,157.1050604,TRUE,Survey
1684,Mainland Oysters 22,7.14,157.1050604,TRUE,AIS
1121,Mainland Mooring 41,4.76,110.3992754,TRUE,AIS
1121,Mainland Mooring 41,10.13,110.3992754,TRUE,Survey
1124,Mainland Mooring 44,3.84,86.61985915,TRUE,Survey
1124,Mainland Mooring 44,3.57,86.61985915,TRUE,AIS
1127,Mainland Mooring 47,1.19,85.52777327,FALSE,AIS
1127,Mainland Mooring 47,6.84,85.52777327,TRUE,Survey
1126,Mainland Mooring 46,7.58,83.68990381,TRUE,Survey
1126,Mainland Mooring 46,2.38,83.68990381,TRUE,AIS
1053,Mainland Marina 1,0,81.3142054,FALSE,AIS
1053,Mainland Marina 1,0,81.3142054,FALSE,Survey
1685,Mainland Oysters 23,0.53,74.59892761,FALSE,Survey
1685,Mainland Oysters 23,13.1,74.59892761,TRUE,AIS
1679,Mainland Aquaculture 3,0,72.44998275,FALSE,AIS
1679,Mainland Aquaculture 3,3.19,72.44998275,TRUE,Survey
1125,Mainland Mooring 45,4.21,63.48228099,TRUE,Survey
1056,Mainland Marina 4,0.74,62.92853089,FALSE,Survey
1122,Mainland Mooring 42,17.86,62.92058487,TRUE,AIS
1122,Mainland Mooring 42,3.24,62.92058487,TRUE,Survey
1054,Mainland Marina 2,0,57.75811631,FALSE,AIS
1054,Mainland Marina 2,0,57.75811631,FALSE,Survey
1203,Mainland MR 19,0.29,56.1248608,FALSE,Survey
1203,Mainland MR 19,2.38,56.1248608,FALSE,AIS
1055,Mainland Marina 3,0,52.97169055,FALSE,Survey
1115,Mainland Mooring 35,0.87,52.91502622,FALSE,Survey
1115,Mainland Mooring 35,5.95,52.91502622,TRUE,AIS
1120,Mainland Mooring 40,1.68,52.5832673,FALSE,Survey
1477,Mainland Island 84,0.26,47.5604878,FALSE,Survey
1187,Mainland MR 4,0.37,27.22131518,FALSE,Survey
1117,Mainland Mooring 37,0.18,24.65765601,FALSE,Survey
1606,Mainland Oysters 7,1.32,21.23676058,FALSE,Survey
1663,Mainland Oysters 12,0.79,21.21320344,FALSE,Survey
1669,Mainland Mussels 45,0.03,20.49390153,FALSE,Survey
1444,Mainland Beach 75,0.29,20,FALSE,Survey
1575,Mainland Island 85,0.26,19.4422221,FALSE,Survey
1228,Mainland CHS 4,0,19.33907961,NA,Unvisited
1227,Mainland CHS 3,0.05,16.73320053,FALSE,Survey
1123,Mainland Mooring 43,0.13,16.43167673,FALSE,Survey
1231,Mainland CHS 7,0.03,13.85640646,FALSE,Survey
1231,Mainland CHS 7,1.19,13.85640646,FALSE,AIS
1476,Mainland Island 14,0,11.48912529,NA,Unvisited
1229,Mainland CHS 5,0.18,10.48808848,FALSE,Survey
1582,Mainland Island 91,0,10.19803903,NA,Unvisited
1581,Mainland Island 90,0,9.16515139,NA,Unvisited
1473,Mainland Island 13,0.03,8.366600265,FALSE,Survey
1473,Mainland Island 13,5.95,8.366600265,TRUE,AIS
1400,Mainland Beach 34,0.03,7.483314774,FALSE,Survey
1682,Mainland Oysters 20,0,7,NA,Unvisited
1128,Mainland Mooring 48,0,6.32455532,NA,Unvisited
1232,Mainland CHS 8,0.05,6.32455532,FALSE,Survey
1401,Mainland Beach 35,0,5,NA,Unvisited
1574,Mainland Island 83,0,5,NA,Unvisited
1666,Mainland Oysters 14,0.05,5,FALSE,Survey
1695,Mainland Mussels 56,0,4.898979486,NA,Unvisited
1114,Mainland Mooring 34,0,4,FALSE,Survey
1370,Mainland Beach 6,0,3,NA,Unvisited
1437,Mainland Beach 70,0.03,3,FALSE,Survey
1226,Mainland CHS 2,0,2,NA,Unvisited
1397,Mainland Beach 31,0,2,NA,Unvisited
1573,Mainland Island 81,1.19,2,FALSE,AIS
1649,Mainland Oysters 10,0,2,NA,Unvisited
1435,Mainland Beach 68,0,1,NA,Unvisited
1576,Mainland Island 86,0,1,NA,Unvisited
1579,Mainland Island 89,0,1,NA,Unvisited
1601,Mainland Aquaculture 8,0,1,NA,Unvisited
1577,Mainland Island 87,1.19,1,FALSE,AIS
