"from","to","vessels","xx","yx","xy","yy"
"Homunga Bay","Mainland Marina 14",1,175.945581669273,-37.3615264694354,176.18072485,-37.66724799505
"Homunga Bay","Mainland Oysters 11",1,175.945581669273,-37.3615264694354,177.074836065,-37.9561968485
"Islands Island 5","Mainland Mooring 41",1,-177.873247278,-29.2448527425525,174.551119822,-35.6207688664667
"Mainland Aquaculture 3","Mainland Marina 2",2,174.0915419815,-35.22973932065,174.1034276155,-35.24046385095
"Mainland Aquaculture 3","Mainland Marina 6",1,174.0915419815,-35.22973932065,174.788355122,-36.620952782
"Mainland Aquaculture 3","Mainland Marina 9",1,174.0915419815,-35.22973932065,174.7806808478,-36.84457156828
"Mainland Aquaculture 3","Mainland Mooring 35",3,174.0915419815,-35.22973932065,174.115811762778,-35.2454224835259
"Mainland Aquaculture 3","Mainland Mooring 36",3,174.0915419815,-35.22973932065,174.234434919178,-35.2312827907832
"Mainland Aquaculture 3","Mainland Mooring 40",1,174.0915419815,-35.22973932065,173.5128284085,-34.9897998043
"Mainland Aquaculture 3","Mainland Mooring 42",2,174.0915419815,-35.22973932065,174.5217148356,-35.83060401092
"Mainland Aquaculture 3","Mainland Mooring 44",2,174.0915419815,-35.22973932065,173.7677530242,-35.00289248482
"Mainland Aquaculture 3","Mainland Mooring 46",1,174.0915419815,-35.22973932065,174.388682827,-35.3907587621
"Mainland Aquaculture 3","Mainland Mooring 98",1,174.0915419815,-35.22973932065,173.081263108,-40.9410273656
"Mainland Aquaculture 3","Mainland Oysters 21",13,174.0915419815,-35.22973932065,174.128783634167,-35.2517751985
"Mainland Aquaculture 3","Mainland Oysters 22",9,174.0915419815,-35.22973932065,174.222283953,-35.2200093351
"Mainland Aquaculture 3","Mainland Oysters 23",1,174.0915419815,-35.22973932065,174.459996629,-35.817853824
"Mainland Aquaculture 4","Mainland Island 72",1,175.451390291,-36.7329484605,175.170341349,-36.7229927366
"Mainland Aquaculture 4","Mainland Mooring 25",1,175.451390291,-36.7329484605,175.434166988,-36.8246320442
"Mainland Aquaculture 4","Mainland Mooring 26",1,175.451390291,-36.7329484605,175.47579357175,-36.764238297875
"Mainland Aquaculture 4","Mainland Mooring 27",1,175.451390291,-36.7329484605,175.465709040333,-36.5225860606667
"Mainland Aquaculture 4","Mainland Mooring 59",1,175.451390291,-36.7329484605,175.0339161016,-36.82694775294
"Mainland Aquaculture 4","Mainland Mussels 36",1,175.451390291,-36.7329484605,175.415626737298,-36.9193918025383
"Mainland Aquaculture 4","Mainland Mussels 48",2,175.451390291,-36.7329484605,175.399369445,-36.6964250477
"Mainland Aquaculture 4","Mainland Mussels 54",1,175.451390291,-36.7329484605,175.16964666,-36.8061142425
