from,to,fromnID,tonID,vessels,Perc_tot,xx,yx,xy,yy
Mainland Beach 10,Homunga Bay,1376,1742,1,0.008832362,175.7914444,-36.69344444,175.9455817,-37.36152647
Mainland Marina 10,Homunga Bay,1062,1742,1,0.008832362,174.9243674,-36.88052382,175.9455817,-37.36152647
Mainland Mooring 8,Homunga Bay,1088,1742,1,0.008832362,176.0536736,-37.63516661,175.9455817,-37.36152647
Mainland MR 19,Mainland Aquaculture 3,1203,1679,1,0.008832362,174.3933379,-35.793184,174.091542,-35.22973932
Mainland Mooring 41,Mainland Aquaculture 3,1121,1679,8,0.070658894,174.5511198,-35.62076887,174.091542,-35.22973932
Mainland Oysters 22,Mainland Aquaculture 3,1684,1679,6,0.052994171,174.222284,-35.22000934,174.091542,-35.22973932
Mainland Mooring 64,Mainland Aquaculture 3,1144,1679,3,0.026497085,174.79914,-36.83358315,174.091542,-35.22973932
Mainland Oysters 17,Mainland Aquaculture 3,1599,1679,1,0.008832362,175.1250922,-36.83929055,174.091542,-35.22973932
Mainland Mooring 35,Mainland Aquaculture 3,1115,1679,8,0.070658894,174.1158118,-35.24542248,174.091542,-35.22973932
Mainland Mooring 28,Mainland Aquaculture 3,1108,1679,1,0.008832362,175.7728926,-36.60053899,174.091542,-35.22973932
Mainland Marina 14,Mainland Aquaculture 3,1066,1679,1,0.008832362,176.1807249,-37.667248,174.091542,-35.22973932
Mainland Mooring 36,Mainland Aquaculture 3,1116,1679,12,0.105988341,174.2344349,-35.23128279,174.091542,-35.22973932
Mainland Marina 1,Mainland Aquaculture 3,1053,1679,3,0.026497085,173.7419182,-35.06394306,174.091542,-35.22973932
Mainland CHS 64,Mainland Aquaculture 3,1288,1679,1,0.008832362,175.477856,-36.2195626,174.091542,-35.22973932
Mainland Mooring 47,Mainland Aquaculture 3,1127,1679,2,0.017664724,174.3411403,-35.3128583,174.091542,-35.22973932
Mainland Oysters 21,Mainland Aquaculture 3,1683,1679,19,0.167814874,174.1287836,-35.2517752,174.091542,-35.22973932
Mainland Mooring 51,Mainland Aquaculture 4,1131,1689,5,0.044161809,175.3949998,-36.26189717,175.4513903,-36.73294846
Mainland Mussels 29,Mainland Aquaculture 4,1625,1689,1,0.008832362,175.3419631,-36.1619629,175.4513903,-36.73294846
Mainland Mooring 58,Mainland Aquaculture 4,1138,1689,1,0.008832362,174.9849346,-36.75476649,175.4513903,-36.73294846
Mainland Mooring 52,Mainland Aquaculture 4,1132,1689,1,0.008832362,175.345222,-36.16394119,175.4513903,-36.73294846
Mainland Mussels 18,Mainland Aquaculture 4,1627,1689,1,0.008832362,175.4369037,-36.74994991,175.4513903,-36.73294846
Mainland Mooring 26,Mainland Aquaculture 4,1106,1689,2,0.017664724,175.4757936,-36.7642383,175.4513903,-36.73294846
Mainland Mooring 28,Mainland Aquaculture 4,1108,1689,1,0.008832362,175.7728926,-36.60053899,175.4513903,-36.73294846
Mainland Oysters 16,Mainland Aquaculture 4,1597,1689,1,0.008832362,175.1699538,-36.80293957,175.4513903,-36.73294846
Mainland Island 76,Mainland Aquaculture 4,1568,1689,1,0.008832362,175.3662661,-36.4419488,175.4513903,-36.73294846
