name,nID,Region,Cmmn_nm,lon,lat
Mainland Marina 1,1053,Northland Region,Whangaroa Marina,173.7419182,-35.06394306
Mainland Marina 2,1054,Northland Region,Bay of Islands' Marinas,174.1034276,-35.24046385
Mainland Marina 3,1055,Northland Region,Tutukaka Marina,174.5550817,-35.60459378
Mainland Marina 4,1056,Northland Region,Whangarei Marinas,174.4165507,-35.81754382
Mainland Marina 5,1057,Auckland Region,Unnamed,174.735756,-36.39353753
Mainland Marina 6,1058,Auckland Region,Unnamed,174.7883551,-36.62095278
Mainland Marina 7,1059,Auckland Region,Unnamed,174.7690231,-36.74168089
Mainland Marina 8,1060,Auckland Region,Unnamed,174.673938,-36.81816769
Mainland Marina 9,1061,Auckland Region,Unnamed,174.7806808,-36.84457157
Mainland Marina 10,1062,Auckland Region,Unnamed,174.9243674,-36.88052382
Mainland Marina 11,1063,Waikato Region,Unnamed,175.7063407,-36.82209969
Mainland Marina 12,1064,Waikato Region,Unnamed,175.8601196,-37.00047603
Mainland Marina 13,1065,Waikato Region,Unnamed,175.8665103,-37.19703585
Mainland Marina 14,1066,Bay of Plenty Region,Unnamed,176.1807249,-37.667248
Mainland Marina 15,1067,Gisborne Region,Unnamed,178.0256868,-38.68653852
Mainland Marina 16,1068,Hawke's Bay Region,Unnamed,176.8923432,-39.48322706
Mainland Marina 18,1070,Wellington Region,Unnamed,174.8261267,-41.34827185
Mainland Marina 19,1071,Marlborough Region,Unnamed,174.0202282,-41.26468043
Mainland Marina 20,1072,Marlborough Region,Unnamed,173.7785515,-41.27600706
Mainland Marina 21,1073,Nelson Region,Unnamed,173.2811255,-41.25983531
Mainland Marina 24,1076,Canterbury Region,Unnamed,172.7009228,-43.57161984
Mainland Mooring 7,1087,Bay of Plenty Region,Unnamed,175.9785278,-37.48899576
Mainland Mooring 8,1088,Bay of Plenty Region,Unnamed,176.0536736,-37.63516661
Mainland Mooring 9,1089,Bay of Plenty Region,Unnamed,176.1834135,-37.66859873
Mainland Mooring 12,1092,Taranaki Region,Unnamed,174.0456748,-39.05704043
Mainland Mooring 15,1095,Southland Region,Unnamed,167.8981267,-44.64329182
Mainland Mooring 16,1096,Southland Region,Unnamed,166.983933,-45.13213894
Mainland Mooring 21,1101,Wellington Region,Unnamed,174.8476577,-41.35326034
Mainland Mooring 25,1105,Waikato Region,Unnamed,175.434167,-36.82463204
Mainland Mooring 26,1106,Waikato Region,Unnamed,175.4757936,-36.7642383
Mainland Mooring 27,1107,Waikato Region,Unnamed,175.465709,-36.52258606
Mainland Mooring 28,1108,Waikato Region,Great Mercury Island Moorings,175.7728926,-36.60053899
Mainland Mooring 29,1109,Waikato Region,Unnamed,175.8149589,-36.76080981
Mainland Mooring 30,1110,Waikato Region,Unnamed,175.7147573,-36.82193521
Mainland Mooring 31,1111,Waikato Region,Unnamed,175.854999,-37.00717305
Mainland Mooring 32,1112,Waikato Region,Unnamed,175.8764112,-37.19695687
Mainland Mooring 34,1114,Northland Region,Houhora Moorings,173.1525769,-34.84282629
Mainland Mooring 35,1115,Northland Region,Inner Bay of Islands' Moorings,174.1158118,-35.24542248
Mainland Mooring 36,1116,Northland Region,Outer Bay of Islands' Moorings,174.2344349,-35.23128279
Mainland Mooring 37,1117,Northland Region,Te Puna Inlet Moorings,174.0281519,-35.11777579
Mainland Mooring 39,1119,Auckland Region,Unnamed,174.6263955,-36.08844195
Mainland Mooring 40,1120,Northland Region,Mangonui Moorings,173.5128284,-34.9897998
Mainland Mooring 41,1121,Northland Region,Tutukaka Moorings,174.5511198,-35.62076887
Mainland Mooring 42,1122,Northland Region,Outer Whangarei Harbour Moorings,174.5217148,-35.83060401
Mainland Mooring 43,1123,Northland Region,Inner/Central Whangarei Harbour Moorings,174.4161348,-35.80984226
Mainland Mooring 44,1124,Northland Region,Whangaroa Moorings,173.767753,-35.00289248
Mainland Mooring 45,1125,Northland Region,Motukawaiti Island & Putataua Bay Moorings,173.9259023,-35.02296557
Mainland Mooring 46,1126,Northland Region,Bland Bay Moorings,174.3886828,-35.39075876
Mainland Mooring 47,1127,Northland Region,Whangaruru Moorings,174.3411403,-35.3128583
Mainland Mooring 48,1128,Northland Region,Rangaunu Pile Moorings,173.2714332,-34.91396238
Mainland Mooring 49,1129,Auckland Region,Unnamed,174.80468,-36.30038057
Mainland Mooring 50,1130,Auckland Region,Tryphena Harbour Moorings,175.4843148,-36.32646577
Mainland Mooring 51,1131,Auckland Region,Blind Bay and Whangaparapara Harbour Moorings,175.3949998,-36.26189717
Mainland Mooring 52,1132,Auckland Region,Port Fitzroy/Abercrombie Moorings,175.345222,-36.16394119
Mainland Mooring 53,1133,Auckland Region,Unnamed,174.7427249,-36.40368021
Mainland Mooring 54,1134,Auckland Region,Unnamed,174.7262661,-36.49824124
Mainland Mooring 55,1135,Auckland Region,Unnamed,174.7458767,-36.63214297
